x	y	cos(x)
0	1	1
0.15707963267949	0.9	0.987688340595138
0.314159265358979	0.8	0.951056516295154
0.471238898038469	0.7	0.891006524188368
0.628318530717959	0.6	0.809016994374947
0.785398163397448	0.5	0.707106781186548
0.942477796076938	0.4	0.587785252292473
1.09955742875643	0.3	0.453990499739547
1.25663706143592	0.2	0.309016994374947
1.41371669411541	0.1	0.156434465040231
1.5707963267949	6.12303176911189E-17	6.12303176911189E-17
1.64933614313464	-0.0707106781186547	-0.0784590957278449
1.72787595947439	-0.141421356237309	-0.156434465040231
1.80641577581413	-0.212132034355964	-0.233445363855905
1.88495559215388	-0.282842712474619	-0.309016994374947
1.96349540849362	-0.353553390593274	-0.38268343236509
2.04203522483337	-0.424264068711929	-0.453990499739547
2.12057504117311	-0.494974746830583	-0.522498564715949
2.19911485751286	-0.565685424949238	-0.587785252292473
2.2776546738526	-0.636396103067893	-0.649448048330184
2.35619449019234	-0.707106781186547	-0.707106781186547
2.43473430653209	-0.736396103067893	-0.760405965600031
2.51327412287183	-0.765685424949238	-0.809016994374947
2.59181393921158	-0.794974746830583	-0.852640164354092
2.67035375555132	-0.824264068711928	-0.891006524188368
2.74889357189107	-0.853553390593274	-0.923879532511287
2.82743338823081	-0.882842712474619	-0.951056516295154
2.90597320457056	-0.912132034355964	-0.972369920397677
2.9845130209103	-0.941421356237309	-0.987688340595138
3.06305283725005	-0.970710678118655	-0.996917333733128
This is working as intended!
