x	y	cos(x)
0	1	1, NaN	0
0.15707963267949	0.941421356237309	0.987688340595138, 0.152478876756937	0.156434465040231
0.314159265358979	0.882842712474619	0.951056516295154, 0.295756241668767	0.309016994374947
0.471238898038469	0.824264068711929	0.891006524188368, 0.429832094735492	0.453990499739547
0.628318530717959	0.765685424949238	0.809016994374947, 0.55470643595711	0.587785252292473
0.785398163397448	0.707106781186548	0.707106781186548, NaN	0.707106781186547
0.942477796076938	0.565685424949238	0.587785252292473, 0.770344131442185	0.809016994374947
1.09955742875643	0.424264068711929	0.453990499739547, 0.848094582859957	0.891006524188368
1.25663706143592	0.282842712474619	0.309016994374947, 0.903630619586936	0.951056516295154
1.41371669411541	0.14142135623731	0.156434465040231, 0.936952241623124	0.987688340595138
1.5707963267949	6.12303176911189E-17	6.12303176911189E-17, NaN	1
1.72787595947439	-0.141421356237309	-0.156434465040231, 0.936952241623124	0.987688340595138
1.88495559215388	-0.282842712474619	-0.309016994374947, 0.903630619586936	0.951056516295154
2.04203522483337	-0.424264068711929	-0.453990499739547, 0.848094582859957	0.891006524188368
2.19911485751286	-0.565685424949238	-0.587785252292473, 0.770344131442185	0.809016994374947
2.35619449019234	-0.707106781186547	-0.707106781186547, NaN	0.707106781186548
2.51327412287183	-0.765685424949238	-0.809016994374947, 0.55470643595711	0.587785252292473
2.67035375555132	-0.824264068711928	-0.891006524188368, 0.429832094735492	0.453990499739547
2.82743338823081	-0.882842712474619	-0.951056516295154, 0.295756241668767	0.309016994374948
2.9845130209103	-0.941421356237309	-0.987688340595138, 0.152478876756937	0.156434465040231
